observation_id,observer,species,location,date_observed
1,Alice,Blue Morpho,Garden,2020-11-25
2,Bob,Painted Lady,Rainforest,2018-07-28
3,Dana,Monarch,Meadow,2018-02-08
4,Alice,Painted Lady,Desert,2020-12-23
5,Bob,Red Admiral,Rainforest,2015-12-28
6,Dana,Swallowtail,Rainforest,2020-12-16
7,Charlie,Monarch,Meadow,2020-03-14
8,Charlie,Blue Morpho,Desert,2018-07-08
9,Bob,Red Admiral,Mountain,2016-05-29
10,Charlie,Swallowtail,Desert,2016-03-24
11,Alice,Painted Lady,Garden,2020-04-07
12,Dana,Swallowtail,Rainforest,2019-02-15
13,Alice,Red Admiral,Garden,2018-06-01
14,Alice,Red Admiral,Mountain,2020-01-30
15,Charlie,Swallowtail,Garden,2017-05-23
16,Alice,Painted Lady,Desert,2018-11-29
17,Charlie,Swallowtail,Garden,2019-10-21
18,Dana,Red Admiral,Mountain,2017-07-11
19,Dana,Red Admiral,Mountain,2020-11-29
20,Alice,Blue Morpho,Mountain,2017-11-02
21,Bob,Blue Morpho,Desert,2018-11-17
22,Charlie,Monarch,Mountain,2015-11-10
23,Charlie,Red Admiral,Rainforest,2020-06-20
24,Alice,Blue Morpho,Mountain,2017-11-03
25,Charlie,Swallowtail,Garden,2019-07-15
26,Charlie,Painted Lady,Garden,2019-11-14
27,Bob,Swallowtail,Garden,2017-10-11
28,Bob,Painted Lady,Desert,2017-12-29
29,Alice,Blue Morpho,Garden,2018-01-29
30,Bob,Monarch,Desert,2016-11-28
31,Alice,Swallowtail,Desert,2020-12-19
32,Dana,Swallowtail,Mountain,2018-11-05
33,Alice,Swallowtail,Rainforest,2018-03-01
34,Dana,Painted Lady,Mountain,2017-11-09
35,Alice,Blue Morpho,Mountain,2020-04-13
36,Charlie,Swallowtail,Desert,2017-10-10
37,Bob,Swallowtail,Desert,2015-08-15
38,Dana,Monarch,Garden,2020-01-03
39,Alice,Monarch,Garden,2019-02-01
40,Bob,Blue Morpho,Mountain,2017-04-01
41,Alice,Blue Morpho,Meadow,2020-07-16
42,Bob,Red Admiral,Meadow,2017-05-20
43,Bob,Monarch,Garden,2020-09-16
44,Alice,Red Admiral,Meadow,2019-12-01
45,Dana,Painted Lady,Garden,2015-07-07
46,Dana,Red Admiral,Desert,2017-12-16
47,Charlie,Swallowtail,Mountain,2017-07-29
48,Bob,Red Admiral,Rainforest,2016-06-09
49,Charlie,Blue Morpho,Mountain,2015-12-02
50,Charlie,Painted Lady,Garden,2017-12-14
51,Alice,Swallowtail,Garden,2015-06-11
52,Alice,Red Admiral,Mountain,2016-08-16
53,Alice,Painted Lady,Garden,2020-04-22
54,Bob,Painted Lady,Meadow,2015-03-01
55,Alice,Swallowtail,Meadow,2020-03-16
56,Alice,Red Admiral,Garden,2016-02-10
57,Bob,Painted Lady,Garden,2016-10-25
58,Bob,Painted Lady,Meadow,2018-02-06
59,Dana,Monarch,Garden,2018-01-04
60,Alice,Painted Lady,Garden,2016-06-25
61,Alice,Monarch,Mountain,2018-08-30
62,Alice,Red Admiral,Rainforest,2017-09-24
63,Dana,Red Admiral,Meadow,2018-02-14
64,Alice,Red Admiral,Mountain,2017-05-17
65,Dana,Blue Morpho,Rainforest,2020-08-28
66,Charlie,Red Admiral,Garden,2016-03-07
67,Dana,Painted Lady,Garden,2017-01-09
68,Charlie,Swallowtail,Mountain,2018-10-05
69,Alice,Monarch,Garden,2015-07-02
70,Charlie,Blue Morpho,Desert,2020-11-30
71,Dana,Red Admiral,Mountain,2018-04-21
72,Bob,Red Admiral,Rainforest,2018-03-15
73,Charlie,Swallowtail,Mountain,2017-04-10
74,Charlie,Swallowtail,Meadow,2019-07-10
75,Alice,Blue Morpho,Mountain,2018-02-10
76,Dana,Monarch,Garden,2016-04-20
77,Charlie,Red Admiral,Garden,2018-08-19
78,Charlie,Blue Morpho,Desert,2017-08-28
79,Charlie,Painted Lady,Desert,2017-10-16
80,Charlie,Painted Lady,Desert,2018-02-15
81,Bob,Blue Morpho,Rainforest,2020-01-11
82,Dana,Red Admiral,Desert,2015-06-10
83,Alice,Blue Morpho,Rainforest,2015-07-17
84,Alice,Red Admiral,Desert,2018-07-07
85,Bob,Swallowtail,Rainforest,2016-10-21
86,Dana,Blue Morpho,Mountain,2019-11-11
87,Charlie,Red Admiral,Mountain,2017-12-06
88,Bob,Blue Morpho,Garden,2020-07-03
89,Dana,Blue Morpho,Rainforest,2016-02-03
90,Charlie,Red Admiral,Meadow,2019-09-30
91,Bob,Red Admiral,Garden,2019-05-02
92,Dana,Monarch,Mountain,2020-10-26
93,Alice,Blue Morpho,Rainforest,2020-12-11
94,Alice,Painted Lady,Desert,2015-03-16
95,Dana,Blue Morpho,Meadow,2020-12-24
96,Alice,Blue Morpho,Mountain,2016-08-24
97,Dana,Red Admiral,Garden,2017-04-16
98,Charlie,Blue Morpho,Rainforest,2019-03-09
99,Dana,Blue Morpho,Meadow,2016-05-14
100,Charlie,Painted Lady,Rainforest,2019-05-16
101,Bob,Red Admiral,Desert,2015-05-18
102,Dana,Blue Morpho,Garden,2020-09-28
103,Bob,Swallowtail,Rainforest,2019-11-30
104,Alice,Monarch,Mountain,2017-08-30
105,Charlie,Painted Lady,Garden,2019-07-01
106,Dana,Blue Morpho,Mountain,2020-02-29
107,Bob,Swallowtail,Rainforest,2020-07-21
108,Charlie,Blue Morpho,Garden,2020-03-15
109,Charlie,Blue Morpho,Mountain,2018-12-20
110,Alice,Red Admiral,Desert,2016-06-30
111,Alice,Red Admiral,Desert,2017-07-10
112,Charlie,Red Admiral,Rainforest,2016-08-03
113,Charlie,Swallowtail,Garden,2018-10-04
114,Dana,Blue Morpho,Meadow,2020-05-10
115,Charlie,Monarch,Garden,2020-06-26
116,Dana,Painted Lady,Desert,2020-09-27
117,Charlie,Red Admiral,Mountain,2016-12-04
118,Alice,Red Admiral,Meadow,2019-06-14
119,Dana,Blue Morpho,Rainforest,2016-09-29
120,Bob,Blue Morpho,Meadow,2017-10-06
121,Alice,Swallowtail,Rainforest,2016-10-02
122,Dana,Swallowtail,Meadow,2020-02-05
123,Dana,Red Admiral,Rainforest,2018-04-20
124,Bob,Blue Morpho,Rainforest,2016-11-16
125,Dana,Monarch,Meadow,2020-01-26
126,Charlie,Painted Lady,Meadow,2015-07-07
127,Bob,Blue Morpho,Rainforest,2019-06-08
128,Alice,Blue Morpho,Desert,2019-08-15
129,Alice,Swallowtail,Meadow,2017-09-11
130,Charlie,Painted Lady,Garden,2016-07-01
131,Alice,Red Admiral,Mountain,2018-12-02
132,Dana,Blue Morpho,Rainforest,2017-05-25
133,Dana,Red Admiral,Rainforest,2016-09-09
134,Charlie,Blue Morpho,Mountain,2018-09-27
135,Alice,Red Admiral,Desert,2018-05-28
136,Alice,Painted Lady,Mountain,2017-06-21
137,Charlie,Swallowtail,Meadow,2015-06-12
138,Bob,Painted Lady,Mountain,2020-05-28
139,Alice,Monarch,Rainforest,2015-09-27
140,Bob,Swallowtail,Mountain,2016-09-23
141,Alice,Painted Lady,Garden,2017-06-24
142,Alice,Monarch,Meadow,2020-07-07
143,Alice,Blue Morpho,Mountain,2019-06-30
144,Alice,Blue Morpho,Rainforest,2015-07-24
145,Dana,Red Admiral,Meadow,2016-08-04
146,Bob,Swallowtail,Rainforest,2019-04-29
147,Bob,Blue Morpho,Desert,2017-04-20
148,Alice,Swallowtail,Garden,2020-01-11
149,Alice,Blue Morpho,Desert,2018-06-05
150,Bob,Red Admiral,Garden,2019-09-16
151,Dana,Painted Lady,Mountain,2019-07-01
152,Charlie,Red Admiral,Meadow,2017-05-24
153,Charlie,Monarch,Mountain,2019-01-04
154,Bob,Blue Morpho,Garden,2016-11-20
155,Alice,Monarch,Garden,2020-07-03
156,Alice,Monarch,Garden,2018-11-23
157,Dana,Swallowtail,Rainforest,2020-06-24
158,Charlie,Blue Morpho,Meadow,2016-11-02
159,Dana,Monarch,Mountain,2018-03-17
160,Charlie,Painted Lady,Mountain,2019-02-04
161,Bob,Monarch,Desert,2017-08-01
162,Charlie,Painted Lady,Garden,2018-12-20
163,Dana,Swallowtail,Garden,2017-06-14
164,Dana,Monarch,Garden,2020-12-29
165,Dana,Red Admiral,Mountain,2018-08-29
166,Bob,Swallowtail,Desert,2015-06-14
167,Charlie,Painted Lady,Rainforest,2020-08-30
168,Charlie,Swallowtail,Meadow,2018-01-10
169,Dana,Monarch,Rainforest,2019-10-20
170,Charlie,Blue Morpho,Mountain,2020-04-22
171,Alice,Blue Morpho,Garden,2016-01-06
172,Alice,Painted Lady,Meadow,2020-02-24
173,Alice,Painted Lady,Mountain,2017-05-02
174,Charlie,Blue Morpho,Mountain,2016-01-19
175,Bob,Painted Lady,Mountain,2020-04-15
176,Bob,Swallowtail,Meadow,2016-02-29
177,Bob,Red Admiral,Meadow,2016-09-20
178,Bob,Red Admiral,Desert,2017-06-13
179,Alice,Swallowtail,Desert,2016-08-20
180,Alice,Red Admiral,Rainforest,2016-08-15
181,Dana,Monarch,Meadow,2019-08-15
182,Charlie,Swallowtail,Meadow,2016-07-26
183,Charlie,Painted Lady,Meadow,2020-09-06
184,Bob,Swallowtail,Desert,2020-09-21
185,Alice,Blue Morpho,Mountain,2019-09-01
186,Bob,Painted Lady,Garden,2015-06-26
187,Dana,Blue Morpho,Desert,2016-06-12
188,Charlie,Painted Lady,Meadow,2019-06-22
189,Charlie,Red Admiral,Desert,2017-08-23
190,Bob,Swallowtail,Rainforest,2019-02-26
191,Dana,Monarch,Meadow,2015-07-17
192,Charlie,Painted Lady,Rainforest,2017-05-02
193,Dana,Painted Lady,Meadow,2019-03-18
194,Dana,Blue Morpho,Desert,2020-08-31
195,Bob,Red Admiral,Mountain,2017-12-16
196,Alice,Blue Morpho,Garden,2015-04-08
197,Bob,Blue Morpho,Rainforest,2020-03-18
198,Alice,Red Admiral,Desert,2016-03-10
199,Dana,Monarch,Mountain,2016-09-28
200,Alice,Blue Morpho,Desert,2016-08-10
201,Dana,Blue Morpho,Rainforest,2015-12-10
202,Charlie,Painted Lady,Garden,2018-08-10
203,Charlie,Red Admiral,Desert,2020-06-02
204,Charlie,Swallowtail,Meadow,2016-07-24
205,Bob,Monarch,Mountain,2016-09-02
206,Bob,Monarch,Desert,2019-09-24
207,Dana,Red Admiral,Mountain,2020-01-29
208,Charlie,Painted Lady,Meadow,2017-08-17
209,Bob,Painted Lady,Garden,2020-09-10
210,Charlie,Red Admiral,Garden,2016-06-15
211,Bob,Painted Lady,Meadow,2018-03-23
212,Alice,Monarch,Mountain,2017-12-27
213,Alice,Monarch,Desert,2020-03-16
214,Charlie,Swallowtail,Meadow,2017-06-02
215,Dana,Red Admiral,Rainforest,2019-08-06
216,Bob,Blue Morpho,Mountain,2020-10-27
217,Bob,Blue Morpho,Garden,2019-10-16
218,Alice,Swallowtail,Meadow,2017-02-20
219,Alice,Swallowtail,Garden,2020-10-06
220,Dana,Painted Lady,Mountain,2017-05-30
221,Dana,Swallowtail,Garden,2016-03-22
222,Dana,Swallowtail,Meadow,2020-10-14
223,Charlie,Blue Morpho,Mountain,2019-11-19
224,Alice,Painted Lady,Rainforest,2018-07-01
225,Charlie,Swallowtail,Meadow,2020-06-14
226,Alice,Swallowtail,Desert,2017-12-03
227,Alice,Painted Lady,Meadow,2019-04-27
228,Bob,Red Admiral,Mountain,2017-10-08
229,Alice,Painted Lady,Meadow,2017-02-12
230,Alice,Blue Morpho,Rainforest,2019-12-20
231,Charlie,Red Admiral,Rainforest,2018-04-16
232,Alice,Monarch,Desert,2018-12-21
233,Charlie,Painted Lady,Garden,2015-11-03
234,Dana,Blue Morpho,Mountain,2017-02-17
235,Alice,Red Admiral,Mountain,2015-01-08
236,Alice,Painted Lady,Garden,2016-04-20
237,Charlie,Swallowtail,Rainforest,2018-08-13
238,Dana,Painted Lady,Rainforest,2016-04-29
239,Bob,Monarch,Meadow,2017-06-23
240,Dana,Painted Lady,Desert,2016-07-12
241,Charlie,Red Admiral,Desert,2020-05-21
242,Dana,Red Admiral,Desert,2018-02-01
243,Charlie,Painted Lady,Meadow,2018-05-18
244,Charlie,Red Admiral,Desert,2016-04-12
245,Bob,Swallowtail,Garden,2017-04-27
246,Alice,Painted Lady,Meadow,2015-09-16
247,Charlie,Swallowtail,Garden,2015-10-10
248,Charlie,Swallowtail,Meadow,2019-07-08
249,Bob,Blue Morpho,Desert,2020-03-13
250,Charlie,Painted Lady,Garden,2015-02-09
251,Alice,Red Admiral,Garden,2017-10-11
252,Bob,Swallowtail,Garden,2016-09-04
253,Alice,Blue Morpho,Meadow,2020-03-30
254,Alice,Painted Lady,Mountain,2016-11-18
255,Bob,Painted Lady,Desert,2016-09-04
256,Charlie,Monarch,Garden,2019-11-17
257,Alice,Monarch,Mountain,2019-12-16
258,Alice,Swallowtail,Desert,2019-03-28
259,Alice,Monarch,Desert,2020-04-14
260,Alice,Swallowtail,Garden,2018-02-26
261,Bob,Red Admiral,Garden,2016-07-28
262,Bob,Swallowtail,Meadow,2020-03-25
263,Dana,Monarch,Mountain,2017-10-09
264,Dana,Red Admiral,Mountain,2016-10-31
265,Alice,Monarch,Garden,2015-09-26
266,Charlie,Swallowtail,Desert,2018-07-07
267,Alice,Blue Morpho,Garden,2017-07-12
268,Charlie,Painted Lady,Desert,2018-01-30
269,Alice,Monarch,Desert,2019-03-10
270,Dana,Swallowtail,Garden,2019-10-25
271,Dana,Red Admiral,Rainforest,2019-05-14
272,Charlie,Monarch,Mountain,2015-09-04
273,Alice,Monarch,Desert,2019-04-10
274,Charlie,Painted Lady,Desert,2020-12-18
275,Dana,Swallowtail,Rainforest,2020-04-23
276,Alice,Blue Morpho,Meadow,2017-07-18
277,Alice,Red Admiral,Rainforest,2015-08-15
278,Charlie,Swallowtail,Rainforest,2015-09-22
279,Bob,Red Admiral,Desert,2018-10-27
280,Charlie,Monarch,Mountain,2018-12-28
281,Dana,Painted Lady,Rainforest,2016-10-07
282,Dana,Painted Lady,Meadow,2018-11-19
283,Dana,Blue Morpho,Garden,2019-01-13
284,Dana,Painted Lady,Rainforest,2018-10-19
285,Dana,Monarch,Rainforest,2020-03-14
286,Bob,Blue Morpho,Meadow,2018-06-03
287,Alice,Swallowtail,Mountain,2017-09-08
288,Charlie,Painted Lady,Rainforest,2018-02-28
289,Charlie,Blue Morpho,Rainforest,2016-08-10
290,Dana,Monarch,Mountain,2016-04-20
291,Charlie,Red Admiral,Meadow,2019-12-27
292,Dana,Red Admiral,Rainforest,2017-09-12
293,Bob,Monarch,Mountain,2018-05-26
294,Bob,Monarch,Rainforest,2015-07-09
295,Alice,Red Admiral,Garden,2018-12-11
296,Bob,Blue Morpho,Desert,2017-09-07
297,Bob,Red Admiral,Garden,2019-08-26
298,Alice,Monarch,Rainforest,2019-09-12
299,Charlie,Painted Lady,Meadow,2015-02-10
300,Dana,Swallowtail,Desert,2017-07-31
301,Dana,Painted Lady,Garden,2015-12-04
302,Charlie,Painted Lady,Mountain,2018-08-30
303,Alice,Monarch,Meadow,2018-01-03
304,Charlie,Red Admiral,Garden,2017-06-14
305,Bob,Blue Morpho,Mountain,2019-08-02
306,Alice,Painted Lady,Rainforest,2017-07-19
307,Alice,Red Admiral,Mountain,2015-10-16
308,Alice,Blue Morpho,Garden,2016-12-24
309,Dana,Painted Lady,Garden,2020-05-07
310,Charlie,Blue Morpho,Rainforest,2017-12-25
311,Alice,Red Admiral,Mountain,2016-04-27
312,Alice,Swallowtail,Mountain,2017-07-24
313,Alice,Red Admiral,Rainforest,2015-06-05
314,Charlie,Monarch,Mountain,2017-12-06
315,Dana,Blue Morpho,Rainforest,2020-05-12
316,Bob,Swallowtail,Meadow,2019-08-11
317,Dana,Blue Morpho,Garden,2015-05-04
318,Alice,Blue Morpho,Meadow,2020-08-10
319,Dana,Painted Lady,Desert,2017-08-25
320,Dana,Monarch,Desert,2017-05-04
321,Bob,Blue Morpho,Desert,2016-10-01
322,Charlie,Red Admiral,Rainforest,2019-05-22
323,Charlie,Red Admiral,Mountain,2016-03-17
324,Dana,Painted Lady,Meadow,2020-04-28
325,Dana,Monarch,Meadow,2020-01-13
326,Charlie,Monarch,Meadow,2020-01-04
327,Charlie,Red Admiral,Meadow,2016-06-16
328,Bob,Swallowtail,Desert,2018-08-29
329,Alice,Painted Lady,Meadow,2017-08-06
330,Dana,Painted Lady,Mountain,2020-07-12
331,Charlie,Red Admiral,Desert,2016-04-04
332,Dana,Red Admiral,Meadow,2016-07-04
333,Dana,Swallowtail,Rainforest,2016-01-28
334,Charlie,Swallowtail,Garden,2019-11-23
335,Bob,Monarch,Garden,2017-04-24
336,Dana,Painted Lady,Garden,2018-02-12
337,Bob,Painted Lady,Desert,2016-10-07
338,Charlie,Red Admiral,Meadow,2019-01-06
339,Alice,Monarch,Desert,2018-10-09
340,Alice,Painted Lady,Mountain,2015-05-22
341,Dana,Monarch,Rainforest,2016-05-15
342,Charlie,Monarch,Rainforest,2017-04-19
343,Bob,Red Admiral,Garden,2019-08-10
344,Dana,Monarch,Garden,2019-04-15
345,Charlie,Swallowtail,Garden,2020-08-08
346,Charlie,Swallowtail,Meadow,2019-03-11
347,Bob,Blue Morpho,Mountain,2016-08-18
348,Dana,Red Admiral,Mountain,2020-03-19
349,Charlie,Blue Morpho,Mountain,2015-10-08
350,Charlie,Swallowtail,Mountain,2016-02-28
351,Charlie,Blue Morpho,Garden,2015-09-27
352,Bob,Red Admiral,Rainforest,2015-06-03
353,Dana,Red Admiral,Garden,2019-10-17
354,Dana,Monarch,Mountain,2016-10-23
355,Dana,Painted Lady,Garden,2020-05-21
356,Dana,Monarch,Mountain,2015-03-24
357,Alice,Red Admiral,Desert,2018-12-20
358,Alice,Swallowtail,Rainforest,2018-07-22
359,Dana,Swallowtail,Desert,2017-09-06
360,Bob,Monarch,Meadow,2019-07-18
361,Alice,Red Admiral,Garden,2018-10-30
362,Charlie,Swallowtail,Meadow,2016-09-24
363,Alice,Red Admiral,Garden,2019-03-12
364,Charlie,Swallowtail,Desert,2017-02-25
365,Dana,Red Admiral,Mountain,2016-02-02
366,Alice,Blue Morpho,Mountain,2018-02-17
367,Bob,Red Admiral,Garden,2017-07-22
368,Alice,Red Admiral,Mountain,2018-12-31
369,Alice,Monarch,Desert,2020-01-27
370,Alice,Blue Morpho,Mountain,2015-10-13
371,Dana,Painted Lady,Desert,2015-09-22
372,Bob,Monarch,Meadow,2020-11-06
373,Alice,Painted Lady,Desert,2019-08-05
374,Bob,Swallowtail,Rainforest,2018-05-11
375,Dana,Painted Lady,Rainforest,2017-03-31
376,Charlie,Red Admiral,Rainforest,2019-10-29
377,Alice,Painted Lady,Garden,2015-02-10
378,Bob,Monarch,Garden,2019-09-28
379,Bob,Monarch,Garden,2015-03-09
380,Dana,Painted Lady,Desert,2017-09-14
381,Alice,Monarch,Garden,2019-12-05
382,Charlie,Monarch,Meadow,2019-06-10
383,Bob,Painted Lady,Rainforest,2019-07-14
384,Alice,Blue Morpho,Desert,2018-07-02
385,Charlie,Blue Morpho,Rainforest,2016-11-25
386,Bob,Swallowtail,Garden,2017-12-21
387,Bob,Monarch,Desert,2019-08-21
388,Charlie,Painted Lady,Mountain,2017-11-24
389,Charlie,Monarch,Meadow,2017-02-17
390,Dana,Red Admiral,Garden,2016-05-08
391,Alice,Monarch,Garden,2019-05-05
392,Alice,Monarch,Meadow,2019-02-01
393,Dana,Blue Morpho,Meadow,2019-11-26
394,Bob,Painted Lady,Mountain,2016-10-22
395,Charlie,Monarch,Garden,2018-09-10
396,Charlie,Blue Morpho,Garden,2018-08-20
397,Charlie,Swallowtail,Rainforest,2018-07-23
398,Bob,Blue Morpho,Desert,2020-06-09
399,Charlie,Blue Morpho,Desert,2020-08-06
400,Charlie,Blue Morpho,Rainforest,2020-04-12
401,Dana,Monarch,Desert,2018-09-09
402,Bob,Monarch,Meadow,2017-11-24
403,Alice,Swallowtail,Desert,2017-09-03
404,Dana,Red Admiral,Desert,2016-04-26
405,Dana,Red Admiral,Rainforest,2016-12-28
406,Alice,Red Admiral,Mountain,2017-10-28
407,Dana,Swallowtail,Desert,2015-12-09
408,Bob,Red Admiral,Desert,2018-12-18
409,Charlie,Red Admiral,Mountain,2016-06-10
410,Bob,Blue Morpho,Rainforest,2020-03-11
411,Alice,Monarch,Mountain,2016-10-20
412,Alice,Monarch,Rainforest,2020-09-04
413,Dana,Blue Morpho,Meadow,2017-03-30
414,Bob,Blue Morpho,Rainforest,2016-02-10
415,Bob,Blue Morpho,Meadow,2019-04-23
416,Alice,Monarch,Meadow,2019-12-17
417,Bob,Red Admiral,Rainforest,2016-05-19
418,Alice,Blue Morpho,Garden,2015-06-28
419,Bob,Swallowtail,Rainforest,2015-05-12
420,Bob,Blue Morpho,Desert,2020-01-21
421,Bob,Painted Lady,Desert,2019-01-18
422,Alice,Blue Morpho,Garden,2017-02-10
423,Dana,Monarch,Meadow,2018-11-30
424,Bob,Blue Morpho,Garden,2020-10-24
425,Alice,Painted Lady,Desert,2016-08-01
426,Alice,Swallowtail,Garden,2019-02-24
427,Bob,Red Admiral,Rainforest,2015-07-13
428,Bob,Blue Morpho,Garden,2020-06-30
429,Dana,Painted Lady,Meadow,2018-03-31
430,Alice,Painted Lady,Rainforest,2018-10-16
431,Alice,Swallowtail,Mountain,2019-11-28
432,Charlie,Monarch,Desert,2018-01-15
433,Alice,Blue Morpho,Desert,2020-04-20
434,Dana,Painted Lady,Garden,2017-02-18
435,Charlie,Swallowtail,Rainforest,2015-09-19
436,Charlie,Red Admiral,Mountain,2016-12-30
437,Charlie,Painted Lady,Rainforest,2015-10-10
438,Bob,Swallowtail,Desert,2019-01-30
439,Bob,Monarch,Rainforest,2015-12-28
440,Alice,Monarch,Mountain,2016-03-16
441,Charlie,Painted Lady,Garden,2020-11-10
442,Dana,Painted Lady,Meadow,2019-07-03
443,Bob,Blue Morpho,Rainforest,2017-05-16
444,Dana,Swallowtail,Meadow,2018-12-18
445,Dana,Painted Lady,Desert,2015-05-22
446,Bob,Blue Morpho,Garden,2018-08-07
447,Bob,Blue Morpho,Garden,2018-12-26
448,Bob,Painted Lady,Rainforest,2020-02-19
449,Bob,Monarch,Garden,2020-01-22
450,Charlie,Swallowtail,Rainforest,2019-09-09
451,Charlie,Swallowtail,Rainforest,2016-12-01
452,Charlie,Monarch,Meadow,2017-09-24
453,Charlie,Painted Lady,Garden,2020-09-27
454,Alice,Swallowtail,Rainforest,2018-08-18
455,Charlie,Painted Lady,Meadow,2017-05-30
456,Bob,Painted Lady,Mountain,2018-04-28
457,Dana,Blue Morpho,Meadow,2018-03-05
458,Charlie,Monarch,Meadow,2016-07-08
459,Alice,Painted Lady,Rainforest,2016-02-08
460,Bob,Red Admiral,Desert,2017-06-10
461,Dana,Monarch,Desert,2016-08-24
462,Dana,Swallowtail,Desert,2020-01-05
463,Charlie,Blue Morpho,Meadow,2015-12-07
464,Dana,Swallowtail,Rainforest,2020-05-22
465,Charlie,Swallowtail,Garden,2016-12-04
466,Charlie,Monarch,Meadow,2015-11-14
467,Bob,Swallowtail,Meadow,2018-10-18
468,Bob,Painted Lady,Rainforest,2019-12-06
469,Alice,Swallowtail,Mountain,2018-09-29
470,Bob,Blue Morpho,Meadow,2019-04-22
471,Bob,Blue Morpho,Mountain,2017-03-27
472,Charlie,Red Admiral,Mountain,2016-07-06
473,Bob,Blue Morpho,Desert,2017-05-05
474,Charlie,Swallowtail,Rainforest,2019-12-18
475,Charlie,Blue Morpho,Mountain,2015-07-02
476,Bob,Monarch,Rainforest,2019-04-24
477,Alice,Blue Morpho,Desert,2016-02-01
478,Alice,Painted Lady,Rainforest,2019-09-24
479,Dana,Monarch,Meadow,2019-02-26
480,Dana,Red Admiral,Mountain,2017-06-25
481,Bob,Painted Lady,Rainforest,2018-09-18
482,Alice,Swallowtail,Garden,2020-12-14
483,Charlie,Swallowtail,Rainforest,2015-01-01
484,Dana,Swallowtail,Mountain,2015-01-19
485,Charlie,Painted Lady,Desert,2016-08-06
486,Dana,Painted Lady,Desert,2016-03-31
487,Bob,Painted Lady,Mountain,2020-07-29
488,Alice,Monarch,Meadow,2018-02-06
489,Dana,Monarch,Meadow,2020-05-06
490,Alice,Swallowtail,Desert,2020-11-20
491,Charlie,Blue Morpho,Desert,2017-09-14
492,Bob,Swallowtail,Mountain,2016-06-03
493,Alice,Red Admiral,Meadow,2017-05-08
494,Bob,Monarch,Desert,2015-06-23
495,Alice,Painted Lady,Meadow,2018-09-28
496,Charlie,Monarch,Desert,2016-12-27
497,Charlie,Painted Lady,Rainforest,2019-09-07
498,Bob,Red Admiral,Garden,2020-02-19
499,Charlie,Red Admiral,Rainforest,2019-08-09
500,Dana,Monarch,Desert,2018-09-09
501,Alice,Painted Lady,Garden,2017-09-16
